ID,Store_Name,City,State,Zip Code,Population,Median_Income
9326,King Soopers-Littleton #25,Littleton,CO,80127,45792,111530
9327,Iliff & Buckley,Aurora,CO,80013,73912,81048
9328,Safeway-Erie #1667,Erie,CO,80516,25317,118883
9329,Fred Meyer-Johnson Creek #153,Portland,OR,97266,36180,51428
9330,Ward Parkway,Kansas City,MO,64114,22291,66640
9331,Westview,Frederick,MD,21703,35894,82323
9334,Promenade,Charlotte,NC,28277,66934,108929
9335,Safeway-Baker City #4381,Baker City,OR,97814,12121,50503
9337,Safeway-Stockton #2707,Stockton,CA,95207,50634,48345
9338,"Citadel Outlets, City Of Commerce",City Of Commerce,CA,90040,13437,52624
9339,Safeway-Salinas #2654,Salinas,CA,93905,64314,50587
9342,Sonora Crossroads - Sonora,Sonora,CA,95370,26477,61695
9343,Howe & Fair Oaks - Sacramento,Sacramento,CA,95825,33022,45097
9344,"Atlantic & Florence, Bell",Bell,CA,90201,103728,46068
9346,Chicago & Main,Evanston,IL,60202,32071,80202
9347,Spring Street At Crosby St,New York,NY,10012,24856,108294
9349,Moses Lake,Moses Lake,WA,98837,42354,58999
9350,Oak Grove & Treat,Concord,CA,94518,28631,91754
9351,41St & Madison,New York,NY,10017,16274,118903
9352,Redhill & El Camino Real,Tustin,CA,92780,58088,72716
9353,Sunset & Gower,Los Angeles,CA,90028,35060,50046
9355,Bake & Trabuco,Lake Forest,CA,92630,67524,94403
9356,Brookhurst & Edinger,Fountain Valley,CA,92708,56522,92425
9357,Elmwood Avenue,Buffalo,NY,14222,11749,59715
9358,800 State Street,Santa Barbara,CA,93101,32577,62661
9359,Dupont Circle,Washington,DC,20036,5431,87587
9361,Pentagon Centre,Arlington,VA,22202,27271,113790
9362,1849 Green Bay Rd-Renaissance Place,Highland Park,IL,60035,30514,140649
9363,5185 Macarthur Blvd.,Washington,DC,20016,34664,136272
9364,12Th And P,Lincoln,NE,68508,15013,25666
9365,"Atlantic City, The Walk",Atlantic City,NJ,8401,38888,28510
9367,Rio Hotel & Casino Star Deli,Las Vegas,NV,89103,49716,46162
9368,Harrahs Laughlin Club Cappucino,Laughlin,NV,89029,9939,38987
9370,"Brunswick, Center Road",Brunswick,OH,44212,44595,74013
9372,Safeway-Morgan Hill #1455,Morgan Hill,CA,95037,51872,118952
9373,Safeway-Albany #1659,Albany,OR,97322,35411,55317
9374,Safeway-Aurora #1933,Centennial,CO,80015,70497,98464
9377,Safeway-Fountain #1975,Fountain,CO,80817,29608,68070
9379,Forest Lake,Forest Lake,MN,55025,24914,84561
9380,"Roseville & Sunrise, Roseville",Roseville,CA,95661,31369,86862
9381,Safeway - Flagstaff #2028,Flagstaff,AZ,86001,30477,51990
9383,Caughlin & Mccarran - Reno,Reno,NV,89519,8525,104242
9385,Albertsons-Calabasas #6335,Calabasas,CA,91302,27566,124015
9386,Super Target Lewisville St-1395,Lewisville,TX,75057,14672,58354
9390,Albertsons-Glendale #941,Glendale,AZ,85304,26610,67536
9392,Randall's - Katy #3070,Katy,TX,77450,74432,93250
9393,Kroger-Atlanta #350,Atlanta,GA,30342,33904,86498
9394,West County Mall - Floor 1 South,Des Peres,MO,63131,16898,141773
9395,"East Northport, Rte. 25",East Northport,NY,11731,30271,115212
9396,"Lemoore & Cinnamon, Lemoore",Lemoore,CA,93245,38556,59033
9397,Vons-Hacienda Heights #3086,Hacienda Heights,CA,91745,54936,85909
9398,Vons-Los Angeles #2077,Los Angeles,CA,90034,60380,72908
9399,12519 N. Division,Spokane,WA,99218,14214,55248
9400,Vons - Santa Ana #1626,Santa Ana,CA,92704,92070,70148
9401,Vons-Burbank #3083,Burbank,CA,91505,30279,86933
9402,Vons-Agoura Hills #2001,Agoura Hills,CA,91301,26357,114897
9403,Safeway - Windsor #1434,Windsor,CA,95492,29250,97617
9404,Safeway - San Francisco #667,San Francisco,CA,94131,28595,135507
9405,Target Hemet T-761,Hemet,CA,92545,43377,49697
9406,Safeway - Newark #1224,Newark,CA,94560,45905,105975
9407,Vons-Huntington Beach #2090,Huntington Beach,CA,92649,34487,97570
9409,Follett - Westbrook Corp Center,Westchester,IL,60154,16308,79663
9410,Target Evanston T-927,Evanston,IL,60202,32071,80202
9411,Martins-Elkhart #17,Elkhart,IN,46514,41263,55244
9412,Target Charlotte T-1087,Charlotte,NC,28277,66934,108929
9413,Kroger-Lancaster #931,Lancaster,OH,43130,61509,55191
9414,Safeway - Florence #363,Florence,OR,97439,14797,44075
9415,Safeway - Arlington #534,Arlington,WA,98223,44316,83327
9416,Safeway-Yakima #502,Yakima,WA,98908,35967,67669
9417,Parmer & Mcneil,Austin,TX,78729,30563,75374
9418,Grand & Linden,South San Francisco,CA,94080,68239,99877
9419,Lakeville & Mcdowell,Petaluma,CA,94954,39410,96077
9420,Sand Hill & Sharon Park,Menlo Park,CA,94025,44043,151492
9421,1St St & Central Ave,Sarasota,FL,34236,13118,58085
9422,College & Winkler,Fort Myers,FL,33919,29904,59819
9424,S Conway Rd & Hoffner Ave,Belle Isle,FL,32812,33376,51478
9425,3801 Us Hwy 98,Lakeland,FL,33809,29471,56800
9426,Oglethorpe Mall,Savannah,GA,31406,36824,54198
9427,Eagles Landing Pkwy & Medical Blvd,Stockbridge,GA,30281,69838,62255
9429,Orland Park-179Th & Wolf,Orland Park,IL,60467,25586,99258
9430,Burbank-79Th & Harlem,Burbank,IL,60459,28449,62555
9431,New Lenox-Rte. 30 & Joliet Hwy,New Lenox,IL,60451,35922,106156
9432,32Nd & Western,Marion,IN,46953,23218,36445
9436,Nolan Town Center- Redmond,Redmond,OR,97756,38030,61402
9437,I-10 And Airway,El Paso,TX,79925,39427,51228
9438,University Dr & Carroll Blvd,Denton,TX,76201,27990,35626
9439,Battlefield & Volvo,Chesapeake,VA,23320,58670,76127
9440,Mt. Vernon Plaza,Alexandria,VA,22306,32718,79515
9441,Harris Teeter-Virginia Beach #239,Virginia Beach,VA,23456,57772,99424
9442,Century & Frank Lloyd Wright,Middleton,WI,53562,25462,85692
9443,Safeway-Surprise #1997,Surprise,AZ,85374,41289,60873
9444,Safeway - Mesa #1567,Mesa,AZ,85213,32537,73405
9445,Safeway-Mesa #2644,Mesa,AZ,85215,16057,75758
